video_title,average_completion_percent,median_completion_percent,views
ACC203LL_Y2_01_07,48.10333333333333,39.9,30
ACC203LL_Y2_01_10,63.64090909090908,95.3,22
ACC203_Y2_01_04,91.38378378378378,100.0,37
ACC203_Y2_01_07,83.30588235294118,100.0,34
ACC203_Y2_01_12_A,85.94666666666667,100.0,15
ACC203_Y2_01_12_B,100.0,100.0,11
ACC204LL_Y2_02_01,48.228571428571435,45.2,7
ACC204LL_Y2_02_02,47.349999999999994,45.599999999999994,8
ACC204LL_Y2_02_03,57.142857142857146,96.4,7
ACC204LL_Y2_02_04,25.299999999999997,1.2,4
ACC204LL_Y2_02_05,16.866666666666667,1.2,3
ACC204_Y2_02_01,81.95,100.0,12
ACC204_Y2_02_02,100.0,100.0,8
ACC204_Y2_02_03,92.03,100.0,10
ACC204_Y2_02_04,73.60909090909091,100.0,11
ACC204_Y2_02_05,84.0,100.0,6
ACC206LL_Y2_02_02,60.6,90.0,7
ACC206LL_Y2_02_03,54.76666666666667,62.65,6
ACC206LL_Y2_02_06,100.0,100.0,3
ACC206LL_Y2_02_08,86.475,100.0,4
ACC206LL_Y2_02_09,38.25,24.65,6
ACC206LL_Y2_02_10,50.85,50.85,2
ACC206LL_Y2_02_13,50.85,50.85,2
ACC206_Y2_02_01,90.0,100.0,10
ACC206_Y2_02_05_A,100.0,100.0,7
ACC206_Y2_02_05_B,100.0,100.0,7
ACC206_Y2_02_08,85.7,96.4,8
ACC206_Y2_02_11,57.15,62.85,4
ACC207LL_Y2_01_02,69.34571428571428,98.7,35
ACC207LL_Y2_01_04,58.78823529411765,75.0,34
ACC207_LL_Y2_01_05,53.58275862068966,60.7,29
ACC207_LL_Y2_01_06,47.37,35.099999999999994,30
ACC207_LL_Y2_01_07,62.625,70.3,28
ACC207_LL_Y2_01_10,51.82666666666667,42.9,15
ACC207_Y2_01_01,92.04821428571428,100.0,56
ACC207_Y2_01_02,79.575,100.0,48
ACC207_Y2_01_03_A,95.4829268292683,100.0,41
ACC207_Y2_01_03_B,93.22999999999999,100.0,40
ACC207_Y2_01_03_C,86.1525,100.0,40
ACC207_Y2_01_04_A,94.92432432432432,100.0,37
ACC207_Y2_01_04_B,89.3,100.0,37
ACC207_Y2_01_05_A,95.1470588235294,100.0,34
ACC207_Y2_01_05_B,94.36333333333333,100.0,30
ACC207_Y2_01_06_A,95.675,100.0,32
ACC207_Y2_01_06_B,95.71428571428571,100.0,28
ACC207_Y2_01_07_A,88.58823529411765,100.0,34
ACC207_Y2_01_07_B,89.734375,100.0,32
ACC207_Y2_01_08,87.7125,100.0,32
ACC207_Y2_01_09_A,89.5625,100.0,32
ACC207_Y2_01_09_B,89.6258064516129,100.0,31
ACC207_Y2_01_10,86.83076923076922,100.0,26
ACC207_Y2_01_11,98.07272727272726,100.0,11
ACC207_Y2_01_12,87.76111111111112,98.55,18
ACC212LL_Y2_02_02,75.475,100.0,4
ACC212LL_Y2_02_07,47.28,33.8,5
ACC212LL_Y2_02_08,63.6,91.5,5
ACC212LL_Y2_02_09,65.66666666666667,96.0,3
ACC212LL_Y2_02_11,24.25,24.25,2
ACC212_Y2_02_01_A,83.8875,100.0,8
ACC212_Y2_02_01_B,100.0,100.0,6
ACC212_Y2_02_04,94.28888888888889,100.0,9
ACC212_Y2_02_05,77.58888888888889,100.0,9
ACC212_Y2_02_12,100.0,100.0,1
ACC215LL_Y2_01_01,71.98775510204082,98.5,49
ACC215LL_Y2_01_03,65.2375,76.5,32
ACC215LL_Y2_01_04,55.355555555555554,64.0,27
ACC215LL_Y2_01_06,55.9,75.6,20
ACC215LL_Y2_01_07,42.857142857142854,23.299999999999997,14
ACC215LL_Y2_01_08,41.23636363636364,28.4,22
